strain name,CP,RFP,5.FU,H2O2,CMZ,LVAL,B.Cl.Ala,AZT,KM,6.MP,AF,NiCl,CBPC,NFLX,SDC,SXZ,FOS,KTe,PS,BZ,DCS,MMC,VCM,ATP,PLM,PHEN,3.AT,NVA,MEC,TET,M9,NQO,EDTA,SHX,PMZ,NIT,SS,BSD,GAH,FTD,EM,HSE,CCCP,ABU,PUR,DVAL,5.FOA,NMNO
NVAE2,0.199477,2.133589,0.275537,1.183992,0.367867,0.204065,0.865528,0.890963,-0.921013,0.400356,2.522437,0.868078,0.777991,-0.687905,0.376469,0.301686,0.612058,2.887817,-0.886415,0.590412,-0.261206,-0.15986,-1.060224,1.57011,-1.044239,0.381484,-0.316994,6.632109,-5.445263,-0.221472,-0.290727,0.255017,-0.123011,-0.636185,1.174121,0.25858,2.251656,1.458179,0.958989,0.300079,2.352779,3.927865,0.79842,1.212567,0.871125,0.971571,0.521005,1.006228
NVAE5,0.961922,1.830105,0.044741,-0.004145,0.036826,1.063882,2.021425,-0.176419,0.334232,-1.547043,4.616979,-1.518033,0.488585,-0.334546,1.315783,1.479838,0.811818,-2.180231,-2.999271,-1.227275,-0.899111,-0.822288,0.435962,1.660349,0.82621,-0.628637,-3.442883,9.273476,-12.767052,-1.731627,-0.084057,-3.759964,3.235285,1.884648,1.44686,0.559336,1.863038,1.785843,-1.436974,-1.469961,5.794218,-4.462536,1.52433,-3.175355,1.059785,0.235283,0.485022,3.107613
NVAE6,0.656986,1.463078,-0.983577,1.290088,-0.215215,1.28223,1.936165,0.928187,-0.763378,0.280393,3.167456,2.845811,0.868866,0.318693,0.255095,0.271757,1.426314,4.605847,-0.937326,0.90058,-0.814003,0.407474,-0.488137,1.308204,0.51332,0.192681,-0.120508,9.273476,-5.132109,1.393367,-0.937434,-0.628452,-0.272231,3.377532,0.75544,0.315911,1.516958,3.594198,2.623195,0.643611,-1.146567,3.242275,-2.333276,1.040575,0.948662,-1.581655,0.145339,1.87512
MECE5,0.245192,1.437411,1.095954,-0.318733,0.657366,0.077062,1.029461,0.77733,-0.477991,-0.404331,-0.234927,-0.389633,2.130392,0.160101,0.419406,1.112979,0.814326,0.67055,-0.162753,-1.20537,1.736378,-0.584314,0.266618,-1.821729,0.302287,-0.43548,-0.051412,0.475232,0.604166,-1.945559,0.009206,-0.903792,-0.88183,-0.144113,-1.052012,-0.813823,0.835165,1.533394,-2.333673,-0.415999,-0.684118,0.268372,-0.826496,1.390898,-0.478647,3.931133,-0.09118,-0.487471
MECE6,1.212991,-0.420187,0.277861,-0.098647,2.744664,-0.05321,0.122672,4.401297,-0.335039,0.463613,1.691495,0.722597,4.387198,0.860578,0.269941,1.990978,-0.086145,3.057098,0.733466,0.221807,0.146411,-0.550794,-0.075185,0.201144,-0.012057,0.048045,0.233448,0.184658,0.297242,1.051885,0.080863,0.935904,-0.880489,0.911601,0.011786,0.035174,0.397153,3.050977,-0.438897,2.626676,1.091533,0.126163,-0.0568,1.026482,-0.091492,0.651864,-0.434917,-0.053922
MECE3,-0.305994,0.578241,0.115699,-0.078998,0.464418,-0.151532,-0.278384,0.574559,0.180715,-0.197798,0.610661,0.128457,1.003358,-0.055898,-0.305543,-0.019755,-0.132963,-2.415833,0.885264,0.458388,-0.210223,-0.385228,-0.869447,0.112833,-0.308618,-0.43002,0.623972,-0.576373,-3.275676,-0.084015,-0.144188,0.128168,-0.188435,0.468421,0.053478,-0.77081,0.006738,0.402778,-1.440484,0.289715,1.143508,0.952325,-2.481703,0.069004,0.556392,1.75653,-0.922492,0.462395
MECE2,0.102128,0.149583,0.44992,-0.438696,-0.123869,-0.04575,-0.28906,0.273061,-0.332312,-0.252007,0.09755,0.248186,0.291207,-0.376459,-0.092058,0.227456,0.350882,0.776949,0.870541,0.289876,-0.192957,-0.461616,0.038121,0.056443,-0.504365,-0.499904,-0.064257,-0.477465,0.408914,-0.506571,0.102666,0.209491,0.345293,0.409725,0.112029,-0.811885,0.347633,1.407127,-1.378431,0.386762,0.920578,0.242804,-2.515319,-0.009241,0.02962,1.623531,-0.116982,-0.612212
TETE4,9.632214,4.274406,-2.088835,1.085031,12.550263,-0.771352,1.022426,10.410594,-2.431279,-0.65125,2.961893,2.367961,9.573506,4.02494,-0.244255,5.009823,1.006721,5.212979,-2.069189,1.890224,-2.278501,3.314874,-6.528364,4.766057,-1.30539,5.145162,0.016962,0.186964,-7.351183,9.157014,0.097396,1.742658,5.514177,3.941922,5.674959,3.422202,0.696,0.604349,-3.418397,6.751454,11.818359,-0.01147,1.344725,0.565239,8.246175,3.238808,-0.606912,2.847892
TETE1,7.544326,3.770511,0.583787,-2.065932,9.856608,-0.045128,-0.218762,10.091894,-2.708604,0.307859,4.717675,1.70578,10.182646,3.334554,0.687901,1.757188,0.51901,3.728538,-0.991708,2.083601,0.129914,1.034729,1.011803,4.697078,-0.995419,3.789462,-0.404202,1.312125,0.765609,5.921983,0.102666,1.865399,3.173176,1.74072,4.463726,1.216667,2.033262,-0.293933,1.962725,4.883147,5.39907,0.058611,1.53013,0.123692,5.756165,1.541409,1.593908,1.751555
TETE2,8.876557,1.052589,0.589532,-1.330245,11.647124,0.305704,-0.27497,8.101392,-2.207106,-1.85769,9.362642,0.860198,9.519763,3.204643,-0.796606,2.986175,1.964443,-3.273155,-1.290558,-1.822243,-2.729177,2.523754,2.096494,6.983417,0.84194,4.025444,-0.430838,2.038183,-5.163213,5.87003,0.089773,-2.376819,5.199568,1.605905,6.629854,-1.888148,-0.94516,-0.295999,2.631667,0.947625,5.251853,-1.887275,-3.266396,-4.729369,8.205822,-7.936758,1.385074,2.24249
